名前,address_orig,住所,お店の場所,経緯度
トイザらス福山,広島県福山市東深津町３－２１－４,広島県福山市東深津町3-21-4,,"133.3984065,34.4946142"
フジグラン神辺,広島県福山市神辺町道上７５,広島県福山市神辺町道上75,,"133.3571823,34.5444996"
フジグラン三原,広島県三原市円一町１－１－７,広島県三原市円一町1-1-7,,"133.0790152,34.39282"
ヤマダ電機テックランド福山西,広島県福山市高西町三丁目２番３８号,広島県福山市高西町3-2-38,,"133.2382948,34.4442867"
イトーヨーカドー福山,広島県福山市入船町３－１－６０,広島県福山市入船町3-1-60,,"133.3784849,34.4868696"
ふぇすたらんど五日市,広島県広島市佐伯区八幡１－２４－１７サンリブ五日市店内,広島県広島市佐伯区八幡1-24-17,サンリブ五日市店内,"132.3585597,34.3870108"
モーリーファンタジー・f広島祇園,広島県広島市安佐南区祇園３丁目２－１イオンＳＣ３Ｆ,広島県広島市安佐南区祇園3-2-1,イオンSC3F,"132.46142790000002,34.4440928"
イオン広島府中,広島県安芸郡府中町府中町大須２－１－１,広島県安芸郡府中町府中町大須2-1-1,,"132.4999746,34.3943731"
イオン三原,広島県三原市城町２－１３－１,広島県三原市城町2-13-1,,"133.0872248,34.3991334"
トイザらス下関,山口県下関市ゆめタウン１－１ゆめタウン長府内,山口県下関市ゆめタウン1-1,ゆめタウン長府内,"131.0127757,34.0301968"
ふぇすたらんど下松,山口県下松市南花岡六丁目８番１号サンリブ下松店内,山口県下松市南花岡6-8-1,サンリブ下松店内,"131.8654849,34.0306232"
モーリーファンタジー光,山口県光市浅江字木園１７５６－１ イオン２Ｆ,山口県光市浅江字木園1756-1,イオン2F,"131.9278314,33.9790769"
平和堂大野,岐阜県揖斐郡大野町大字黒野字上柿木１２－１,岐阜県揖斐郡大野町大字黒野字上柿木12-1,,"136.6216078,35.4672235"
アル・プラザ鶴見,岐阜県大垣市鶴見町字上渡瀬 ６４１－２,岐阜県大垣市鶴見町字上渡瀬641-2,,"136.6424628,35.3590696"
ペリカン高山,岐阜県高山市岡本町３－１８－２バロー高山内２Ｆ,岐阜県高山市岡本町3-18-2,バロー高山内2F,"137.2471021,36.1496493"
セガワールドアクアウォーク大垣,岐阜県大垣市林町六丁目８０番２１アクアウォーク大垣２Ｆ,岐阜県大垣市林町6-80-21,アクアウォーク大垣2F,"136.6173199,35.3703827"
にこぱアクアウォーク大垣店,岐阜県大垣市林町６丁目８０番２１,岐阜県大垣市林町6-80-21,,"136.6171384,35.3706092"
アピタ岐阜,岐阜県岐阜市加納神明町６丁目１番地,岐阜県岐阜市加納神明町6-1,,"136.7490887,35.4014982"
アピタ各務原,岐阜県各務原市鵜沼各務原町８丁目７番地,岐阜県各務原市鵜沼各務原町8-7,,"136.9049071,35.397704100000006"
イトーヨーカドー柳津,岐阜県岐阜市柳津町丸野３－３－６,岐阜県岐阜市柳津町丸野3-3-6,,"136.7273434,35.3639975"
モーリーファンタジー関,岐阜県関市倉知５１６ サンサンシティ・マーゴイオン１Ｆ,岐阜県関市倉知516,サンサンシティ・マーゴイオン1F,"136.9001064,35.4779127"
トイザらス静岡,静岡県静岡市清水区鳥坂８６０ クレッセ静岡２Ｆ,静岡県静岡市清水区鳥坂860,クレッセ静岡2F,"138.4340189,35.0132085"
トイザらス浜松,静岡県浜松市中区鍛冶町１５ ザザシティハママツ２Ｆ,静岡県浜松市中区鍛冶町15,ザザシティハママツ2F,"137.7291276,34.7048136"
西友沼津,静岡県沼津市大岡１３３０－１,静岡県沼津市大岡1330-1,,"138.8753735,35.102084"
西友浜北,静岡県浜松市浜北区平口２８６１番地,静岡県浜松市浜北区平口2861,,"137.760731,34.7944018"
AGスクエア清水,静岡県静岡市清水区駒越北町８－１ベイドリーム清水,静岡県静岡市清水区駒越北町8-1,ベイドリーム清水,"138.4994752,34.9848903"
AGスクエア磐田,静岡県磐田市下万能４１３,静岡県磐田市下万能413,,"137.8328781,34.7179812"
ミシマトイス,静岡県三島市本町３番３５号,静岡県三島市本町3-35,,"138.9141007,35.1194906"
THE 3RD PLANET フレスポ静岡店,静岡県静岡市清水区鳥坂８６０番地,静岡県静岡市清水区鳥坂860,,"138.4343247,35.0133227"
THE 3RD PLANET BiVi沼津店,静岡県沼津市大手町１丁目１番５号,静岡県沼津市大手町1-1-5,,"138.8610723,35.1039796"
ピアゴ袋井,静岡県袋井市新池字原川田１１５８番地１,静岡県袋井市新池字原川田1158-1,,"137.9128383,34.7402909"
ピアゴ榛原,静岡県牧之原市細江字濱田１３７１番地１,静岡県牧之原市細江字濱田1371-1,,"138.2394651,34.7499938"
ピアゴ上岡田,静岡県磐田市上岡田字村東８１７番地１,静岡県磐田市上岡田字村東817-1,,"137.8488832,34.6991743"
ピアゴ香貫,静岡県沼津市下香貫字汐入２２１６番地,静岡県沼津市下香貫字汐入2216,,"138.8765783,35.0735688"
アピタ浜北,静岡県浜松市貴布称１２００番地,静岡県浜松市貴布称1200,,"137.7791316,34.7987577"
アピタ大仁,静岡県伊豆の国市吉田字九十分１５３番の１,静岡県伊豆の国市吉田字九十分153,の1,"138.9361629,35.0001792"
プラサカプコン志都呂店,静岡県浜松市西区志都呂町５６０５イオンモール浜松志都呂３Ｆ,静岡県浜松市西区志都呂町5605,イオンモール浜松志都呂3F,"137.6506509,34.696685"
MARK IS 静岡店,静岡県静岡市葵区柚木１９１ＭＡＲＫＩＳ静岡３階,静岡県静岡市葵区柚木191,MARKIS静岡3階,"138.4091493,34.9842497"
タイトーステーション ウェルディ長泉店,静岡県駿東郡長泉町下長窪字城山１０７６－１ / ウェルディ長泉２Ｆ,静岡県駿東郡長泉町下長窪字城山1076-1,ウェルディ長泉2F,"138.8911349,35.1483596"
タイトーFステーション 浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３ イオンモール浜松市野店１Ｆ,静岡県浜松市東区天王町字諏訪1981-3,イオンモール浜松市野店1F,"137.7630438,34.7400129"
イトーヨーカドー浜松宮竹,静岡県浜松市東区上西町１０２０－１,静岡県浜松市東区上西町1020-1,,"137.7643641,34.724349"
ソユー竜宮タウン静岡店,静岡県静岡市駿河区石田一丁目５番１号アピタ静岡ＳＣ２Ｆ,静岡県静岡市駿河区石田1-5-1,アピタ静岡SC2F,"138.401988,34.9598953"
モーリーファンタジー・f富士南,静岡県富士市鮫島１１８－１０イオンタウン２Ｆ,静岡県富士市鮫島118-10,イオンタウン2F,"138.6757142,35.1402072"
