名前,住所,お店の場所,経度,緯度
ライフ経堂,東京都世田谷区経堂5-32-6,,139.63218590000002,35.6482062
セガ東京ドームシティ,東京都文京区後楽1-3-61,,139.7533527,35.703617
セガワールド東大和,東京都東大和市桜ヶ丘1-1330-19,BIGBOX東大和1F,139.4341283,35.7331622
セガワールドドリームファクトリー,東京都武蔵村山市榎1-1-3-2059,,139.3853884,35.7468502
SEGA青梅新町,東京都青梅市新町5-3-7,プライムビル1F,139.3051038,35.78707740000001
セガワールド葛西,東京都江戸川区東葛西9-3-3,イトーヨーカドー3F,139.881876,35.6526049
セガ竹の塚,東京都足立区竹の塚6-8,,139.7927328,35.7946983
ヨドバシカメラAkiba,東京都千代田区神田花岡町1-16F,,139.7747975,35.6989284
ヨドバシカメラ錦糸町,東京都墨田区江東橋3-14-5,錦糸町ステーションビル内,139.8141309,35.6964459
ヨドバシカメラ上野,東京都台東区上野4-10-107F,ゲームフロアー,139.77444,35.7111414
ヨドバシカメラ町田,東京都町田市原町田1-1-11,B1F,139.4443567,35.5422614
ヨドバシカメラ吉祥寺,東京都武蔵野市吉祥寺本町1-19-15F,,139.5815093,35.7047592
NICOPA仙川店,東京都調布市若葉町2-2,島忠ホームズ仙川店2F,139.5867666,35.6589358
ハローズガーデン新糀谷店,東京都大田区萩中2-12-5,マルエツ新糀谷店2階,139.7328705,35.5509912
ハローズガーデン北砂店,東京都江東区北砂2-17-1,アリオ北砂店アリオモール3階,139.8258446,35.6824298
こころっこ大井町店,東京都品川区大井1-3-6,イトーヨーカドー大井町店内7階こころっこ,139.734062,35.6072003
こころっこ町田根岸,東京都町田市根岸2-18-1,アメリア町田根岸店内2F,139.4106725,35.576297
こころっこ葛西店,東京都江戸川区東葛西9-3-6,ホームズ葛西店内1Fプレビプレイランドコーナーこころっこ,139.8825216,35.6539457
アドアーズ南砂町SUNAMO店,東京都江東区新砂3-4-31,南砂町ショッピングセンターSUNAMO4階,139.8353905,35.6651002
THE 3RD PLANET 多摩センター店,東京都多摩市落合1-39-2,,139.4257059,35.6245679
キッズネスト国分寺店,東京都国分寺市南町3-20-3,国分寺エル6F,139.4802031,35.6998806
新宿京王,東京都新宿区西新宿1-1-4,京王百貨店新宿店7F,139.6991536,35.6902612
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町1-10-1,いなりやビルB1F,139.5791085,35.7053394
田無ファミリーランド ゲームセンター,東京都西東京市西原町4-2-9,,139.5244287,35.7356986
キャッツアイ西葛西店,東京都江戸川区西葛西4-2-28,サニーモール西葛西店3F,139.8617964,35.6683376
トイショップヤマシロヤ,東京都台東区上野6-14-6,,139.7753056,35.7113233
イトーヨーカドーアリオ北砂,東京都江東区北砂2-17,,139.8257305,35.6827583
イトーヨーカドー葛西,東京都江戸川区東葛西9-3-3,,139.8819535,35.6524467
イトーヨーカドーアリオ亀有,東京都葛飾区亀有3-49-3,,139.8528479,35.7639572
モーリーファンタジーむさし村山,東京都武蔵村山市榎1-1-3,イオン3F,139.3851634,35.7465692
ビックカメラ池袋西口店,東京都豊島区西池袋1-16-3,,139.7090007,35.7309154
ビックカメラ新宿西口店,東京都新宿区西新宿1-5-1,ハルク5Fトイズコーナー,139.6986726,35.6925399
ビックカメラJR八王子店,東京都八王子市八王子市旭町1-17,トイズコーナー,139.338842,35.654658100000006
ビックカメラ赤坂見附店,東京都港区赤坂3-1-6,,139.7369957,35.6767461
ビックカメラビックロ新宿東口店,東京都新宿区新宿3-29-1,,139.7029783,35.6913359
イオン東久留米,東京都東久留米市南沢5-17,,139.527446,35.7449459
フジグラン石井,徳島県名西郡石井町坂川原544-1,,134.4421893,34.0838789
セガ徳島スエヒロボウル,徳島県徳島市南末広町4-95-2,,134.5727969,34.0605735
パロ小松島,徳島県小松島市小松島町字領田20,小松島ショッピングプラザルピア1F,134.5721772,34.0055029
ペリカン高松,香川県高松市三条町字中所608-1,ゆめタウン高松内2F,134.0419733,34.3168441
ペリカン丸亀,香川県丸亀市新田町150,ゆめタウン丸亀内3F,133.7854822,34.2735034
トイザらス高松,香川県高松市屋島西町字百石1912-1,パワーシティ尾島2F,134.1017068,34.3389274
